length,method,n,median,p95,worst,near_zero_reference_units,failed_valid_rows
512,dense_fp32,192,0.0,0.0,0.0,0,0
512,efq_balance,192,0.09985756910376047,0.18277035944766357,0.20350006270272994,0,0
512,efq_calibrated,192,0.08087437709313908,0.15184079642948778,0.18875004505033552,0,0
512,efq_lut,192,0.08824193457347829,0.18156612874337694,0.3259522451733629,0,0
512,efq_mean,192,0.14489638204426442,0.23252401213913187,0.3584881813402648,0,0
512,efq_mmlu,192,0.08087437709313908,0.15184079642948778,0.18875004505033552,0,0
512,nearest_ceil,192,0.07137437902138973,0.14575732467469843,0.16911772733215683,0,0
512,nearest_efq_scale,192,0.08390217802612016,0.1617733288033894,0.2659982058918864,0,0
512,online_fp32,192,1.2439296286550093e-07,2.980290501733645e-07,3.9101005116838526e-07,0,0
2048,dense_fp32,192,0.0,0.0,0.0,0,0
2048,efq_balance,192,0.08075297804021575,0.12752235106300253,0.15340804967813884,0,0
2048,efq_calibrated,192,0.06789002413913023,0.1169336883881602,0.13664291395731545,0,0
2048,efq_lut,192,0.06884988049894246,0.13632393185909283,0.2801325384364305,0,0
2048,efq_mean,192,0.12132539633043854,0.22284736378136336,0.3315762893739632,0,0
2048,efq_mmlu,192,0.06789002413913023,0.1169336883881602,0.13664291395731545,0,0
2048,nearest_ceil,192,0.05759378755758181,0.09214928478830814,0.125264773102576,0,0
2048,nearest_efq_scale,192,0.06775020156971126,0.12801929807920837,0.2806226150241463,0,0
2048,online_fp32,192,1.375684828112128e-07,4.216632154332446e-07,5.941277489970926e-07,0,0
4096,dense_fp32,192,0.0,0.0,0.0,0,0
4096,efq_balance,192,0.07924054297808193,0.13253027886772503,0.1735499997471487,0,0
4096,efq_calibrated,192,0.06512813269015895,0.11408804502164384,0.13541681849322404,0,0
4096,efq_lut,192,0.06745553681444799,0.15628616622807073,0.20639046296904762,0,0
4096,efq_mean,192,0.11492686031357767,0.22056957749883202,0.30044352384621276,0,0
4096,efq_mmlu,192,0.06512813269015895,0.11408804502164384,0.13541681849322404,0,0
4096,nearest_ceil,192,0.05672377832059357,0.08819547794732234,0.13045988007375436,0,0
4096,nearest_efq_scale,192,0.06521306328808417,0.14864846620831715,0.18732511981092198,0,0
4096,online_fp32,192,1.3904387866272746e-07,4.776787522999831e-07,5.524894511581019e-07,0,0
