split,task,arm,boundary,scenarios,median_absolute_rms,median_B_reference_rms,median_relative_error
standard,RETRIEVAL,A_PUBLIC,block_13_output_last,64,0.01692143099050062,1.346018190765833,0.012559495750159425
standard,RETRIEVAL,A_PUBLIC,block_14_output_last,64,0.019623587783246268,1.4645420050453624,0.013411571267386842
standard,RETRIEVAL,A_PUBLIC,block_18_output_last,64,0.05963683759975674,3.3931285879192448,0.01751047398522497
standard,RETRIEVAL,A_PUBLIC,block_22_output_last,64,0.14206528156583453,7.229511200368897,0.019469725465307022
standard,RETRIEVAL,A_PUBLIC,block_27_output_last,64,0.3188933404256805,9.921156931248163,0.03273378842494409
standard,RETRIEVAL,A_PUBLIC,final_logits,64,0.11789641238523292,3.563270529799415,0.03324446109336031
standard,RETRIEVAL,A_PUBLIC,final_norm_last,64,0.12097962267212144,4.97945745009872,0.02419272921391641
standard,RETRIEVAL,A_PUBLIC,layer13_attention_before_o_proj_last,64,0.018513930962381922,0.5153755560824392,0.03578102016799223
standard,RETRIEVAL,A_PUBLIC,layer13_post_attention_residual_last,64,0.016837731587297185,1.464975296598187,0.011493181972387415
standard,RETRIEVAL,V4,block_13_output_last,64,0.015411978712218435,1.346018190765833,0.011460310670765899
standard,RETRIEVAL,V4,block_14_output_last,64,0.017855935368683046,1.4645420050453624,0.012185725842889055
standard,RETRIEVAL,V4,block_18_output_last,64,0.05783466846288361,3.3931285879192448,0.01710446047162972
standard,RETRIEVAL,V4,block_22_output_last,64,0.1375120791740676,7.229511200368897,0.01887787031714211
standard,RETRIEVAL,V4,block_27_output_last,64,0.32589764855837633,9.921156931248163,0.03266720817044226
standard,RETRIEVAL,V4,final_logits,64,0.11140834681538414,3.563270529799415,0.03058672323075972
standard,RETRIEVAL,V4,final_norm_last,64,0.11489901161029156,4.97945745009872,0.023102468147821718
standard,RETRIEVAL,V4,layer13_attention_before_o_proj_last,64,0.015663591322601596,0.5153755560824392,0.03028635368614671
standard,RETRIEVAL,V4,layer13_post_attention_residual_last,64,0.015032294111438516,1.464975296598187,0.0102439963189743
standard,COMPARISON,A_PUBLIC,block_13_output_last,64,0.018837656888941283,1.3415238718222413,0.014053438957427831
standard,COMPARISON,A_PUBLIC,block_14_output_last,64,0.02045249814499677,1.4630878678338475,0.01399382239196745
standard,COMPARISON,A_PUBLIC,block_18_output_last,64,0.05991553267269991,3.434702292644417,0.017461750092868794
standard,COMPARISON,A_PUBLIC,block_22_output_last,64,0.12630434434714966,7.073823042732761,0.017878584996998126
standard,COMPARISON,A_PUBLIC,block_27_output_last,64,0.2857993246801771,9.97468125781668,0.028521866016000118
standard,COMPARISON,A_PUBLIC,final_logits,64,0.10508174282423607,3.3743022235476374,0.030880670979136573
standard,COMPARISON,A_PUBLIC,final_norm_last,64,0.10917124820148338,4.817389070913219,0.022612832099021006
standard,COMPARISON,A_PUBLIC,layer13_attention_before_o_proj_last,64,0.0191717097283299,0.5054183055041395,0.03800397018997155
standard,COMPARISON,A_PUBLIC,layer13_post_attention_residual_last,64,0.018243701876475074,1.449893981574176,0.012597879496769483
standard,COMPARISON,V4,block_13_output_last,64,0.017138928442466568,1.3415238718222413,0.012749589288410003
standard,COMPARISON,V4,block_14_output_last,64,0.01875479618506745,1.4630878678338475,0.012814900085009462
standard,COMPARISON,V4,block_18_output_last,64,0.05667349582112588,3.434702292644417,0.016499979276085798
standard,COMPARISON,V4,block_22_output_last,64,0.11883878763424877,7.073823042732761,0.016772845918422204
standard,COMPARISON,V4,block_27_output_last,64,0.28466475861802465,9.97468125781668,0.02812654742983836
standard,COMPARISON,V4,final_logits,64,0.10551674554190862,3.3743022235476374,0.03148131875580115
standard,COMPARISON,V4,final_norm_last,64,0.10443433427233151,4.817389070913219,0.02178601596333593
standard,COMPARISON,V4,layer13_attention_before_o_proj_last,64,0.01664292806402978,0.5054183055041395,0.03317574682934994
standard,COMPARISON,V4,layer13_post_attention_residual_last,64,0.016317556365389264,1.449893981574176,0.011220303711356273
standard,CODE,A_PUBLIC,block_13_output_last,64,0.0214518910184925,1.3398716992528823,0.01600563233730051
standard,CODE,A_PUBLIC,block_14_output_last,64,0.023432761246676606,1.4648749222400221,0.015974405235636598
