model_seed,arm,candidate,streams,candidate_cap_bytes,highest_feasible_uniform_bits,uniform_total_bytes,original_gap_bytes,supplement_per_stream_bytes,supplement_shared_bytes,supplement_total_bytes,remaining_gap_bytes
0,MIXED_4_8_TOP2,LOWRANK_4_8_R1,16,60019,4,55098,4921,1784,30031,58575,1444
0,MIXED_4_8_TOP2,LOWRANK_4_8_R1,128,265203,4,233402,31801,1784,30031,258383,6820
0,MIXED_4_8_TOP5,LOWRANK_4_8_R2,16,63859,5,61242,2617,2072,30031,63183,676
0,MIXED_6_8_TOP1,LOWRANK_4_8_R4,128,341235,6,331706,9529,2408,30031,338255,2980
0,MIXED_6_8_TOP4,LOWRANK_4_8_R4,16,71539,6,67386,4153,2552,30031,70863,676
1,MIXED_4_8_TOP2,LOWRANK_4_8_R1,16,60019,4,55098,4921,1784,30031,58575,1444
1,MIXED_4_8_TOP2,LOWRANK_4_8_R1,128,265203,4,233402,31801,1784,30031,258383,6820
1,MIXED_4_8_TOP5,LOWRANK_4_8_R2,16,63859,5,61242,2617,2072,30031,63183,676
1,MIXED_6_8_TOP1,LOWRANK_4_8_R4,128,341235,6,331706,9529,2408,30031,338255,2980
1,MIXED_6_8_TOP4,LOWRANK_4_8_R4,16,71539,6,67386,4153,2552,30031,70863,676
2,MIXED_4_8_TOP2,LOWRANK_4_8_R1,16,60019,4,55098,4921,1784,30031,58575,1444
2,MIXED_4_8_TOP2,LOWRANK_4_8_R1,128,265203,4,233402,31801,1784,30031,258383,6820
2,MIXED_4_8_TOP5,LOWRANK_4_8_R2,16,63859,5,61242,2617,2072,30031,63183,676
2,MIXED_6_8_TOP1,LOWRANK_4_8_R4,128,341235,6,331706,9529,2408,30031,338255,2980
2,MIXED_6_8_TOP4,LOWRANK_4_8_R4,16,71539,6,67386,4153,2552,30031,70863,676
