domain,condition,model_seed,arm,evaluation_version,observed_failures,final_failure_probability,rmst,empirical_horizon,supported_horizon,empirical_horizon_01,supported_horizon_01,per_stream_bytes,shared_bytes,execution_status,absorbed_sequences,total_bytes_N1,total_bytes_N16,total_bytes_N128,amortized_bytes_N1,amortized_bytes_N16,amortized_bytes_N128,complete_call_ms_per_group_token,isolated_complete_call_ms_per_group_token,embedded_potentially_contended_ms_per_group_token,primary_timing_kind,diagnostic_loop_seconds,timing_scope
toy,s4_signed_lattice,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,24,4472,,,4496,4856,7544,4496.0,303.5,58.9375,,,,NOT_MEASURED,4.486278409999613,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,40,4472,,,4512,5112,9592,4512.0,319.5,74.9375,,,,NOT_MEASURED,1.1724141830000008,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_2,v1-unchanged-finite-nonstochastic,512,1.0,0.966796875,,,,,13,4688,,,4701,4896,6352,4701.0,306.0,49.625,,,,NOT_MEASURED,0.8740774300003977,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_3,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,14,4688,,,4702,4912,6480,4702.0,307.0,50.625,,,,NOT_MEASURED,1.0540403079994576,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_4,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,14,4688,,,4702,4912,6480,4702.0,307.0,50.625,,,,NOT_MEASURED,0.8629481919997488,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_5,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,15,4688,,,4703,4928,6608,4703.0,308.0,51.625,,,,NOT_MEASURED,1.1082240109999475,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_6,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,15,4688,,,4703,4928,6608,4703.0,308.0,51.625,,,,NOT_MEASURED,1.0007405300002574,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_7,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,16,4688,,,4704,4944,6736,4704.0,309.0,52.625,,,,NOT_MEASURED,1.0405412910004088,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_8,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,16,4688,,,4704,4944,6736,4704.0,309.0,52.625,,,,NOT_MEASURED,0.92866786400009,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_9,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,17,4688,,,4705,4960,6864,4705.0,310.0,53.625,,,,NOT_MEASURED,1.1299276230001851,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_10,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,17,4689,,,4706,4961,6865,4706.0,310.0625,53.6328125,,,,NOT_MEASURED,1.8731557440005417,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_11,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,18,4689,,,4707,4977,6993,4707.0,311.0625,54.6328125,,,,NOT_MEASURED,1.221368812000037,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_12,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,18,4689,,,4707,4977,6993,4707.0,311.0625,54.6328125,,,,NOT_MEASURED,1.0800212570002259,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_13,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,19,4689,,,4708,4993,7121,4708.0,312.0625,55.6328125,,,,NOT_MEASURED,10.14938119999988,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_14,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,19,4689,,,4708,4993,7121,4708.0,312.0625,55.6328125,,,,NOT_MEASURED,1.892856178999864,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_15,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,20,4689,,,4709,5009,7249,4709.0,313.0625,56.6328125,,,,NOT_MEASURED,1.49976806199993,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNIFORM_16,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,20,4689,,,4709,5009,7249,4709.0,313.0625,56.6328125,,,,NOT_MEASURED,3.1236524129999452,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,STOCHASTIC_4,v2-stochastic-seedkey,0,0.0,2048.0,2048,2048,2048,,30,4740,,,4770,5220,8580,4770.0,326.25,67.03125,,,,NOT_MEASURED,3.4360777530000632,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,FULL_RESIDUAL_4_4,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,20,4993,,,5013,5313,7553,5013.0,332.0625,59.0078125,,,,NOT_MEASURED,4.933696146999864,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,FULL_RESIDUAL_4_FP32,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,30,4777,,,4807,5257,8617,4807.0,328.5625,67.3203125,,,,NOT_MEASURED,3.5023635489997105,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,LOWRANK_4_8,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,20,5029,,,5049,5349,7589,5049.0,334.3125,59.2890625,,,,NOT_MEASURED,3.9639612010005294,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,UNTRANSPORTED_4_4,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,20,4995,,,5015,5315,7555,5015.0,332.1875,59.0234375,,,,NOT_MEASURED,4.846236186999704,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,MIXED_4_8,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,15,4695,,,4710,4935,6615,4710.0,308.4375,51.6796875,,,,NOT_MEASURED,10.077248804000192,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,MIXED_6_8,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,16,4695,,,4711,4951,6743,4711.0,309.4375,52.6796875,,,,NOT_MEASURED,1.426116730999638,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_signed_lattice,,COEFFICIENT_INT8_FP32,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,24,1968,,,1992,2352,5040,1992.0,147.0,39.375,,,,NOT_MEASURED,1.1775726999994731,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,16,2119,,,2135,2375,4167,2135.0,148.4375,32.5546875,,,,NOT_MEASURED,1.364153986999554,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,24,2119,,,2143,2503,5191,2143.0,156.4375,40.5546875,,,,NOT_MEASURED,1.4135726079994129,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_2,v1-unchanged-finite-nonstochastic,512,1.0,0.36328125,,,,,13,2335,,,2348,2543,3999,2348.0,158.9375,31.2421875,,,,NOT_MEASURED,0.885077320000164,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_3,v1-unchanged-finite-nonstochastic,512,1.0,2.244140625,,,,,13,2335,,,2348,2543,3999,2348.0,158.9375,31.2421875,,,,NOT_MEASURED,0.8637881610002296,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_4,v1-unchanged-finite-nonstochastic,512,1.0,11.16015625,,,,,13,2335,,,2348,2543,3999,2348.0,158.9375,31.2421875,,,,NOT_MEASURED,0.95064246200036,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_5,v1-unchanged-finite-nonstochastic,512,1.0,56.99609375,,,,,14,2335,,,2349,2559,4127,2349.0,159.9375,32.2421875,,,,NOT_MEASURED,0.9458333920001678,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_6,v1-unchanged-finite-nonstochastic,512,1.0,196.5546875,32,,,,14,2335,,,2349,2559,4127,2349.0,159.9375,32.2421875,,,,NOT_MEASURED,1.0468050219997167,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_7,v1-unchanged-finite-nonstochastic,494,0.96484375,744.07421875,128,64,64,,14,2335,,,2349,2559,4127,2349.0,159.9375,32.2421875,,,,NOT_MEASURED,2.128957539000112,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_8,v1-unchanged-finite-nonstochastic,244,0.4765625,1656.677734375,512,256,256,,14,2335,,,2349,2559,4127,2349.0,159.9375,32.2421875,,,,NOT_MEASURED,0.9307316089998494,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_9,v1-unchanged-finite-nonstochastic,11,0.021484375,2043.44140625,2048,1024,1024,,15,2335,,,2350,2575,4255,2350.0,160.9375,33.2421875,,,,NOT_MEASURED,0.9505764199993791,includes gold and descriptive diagnostics; no production throughput claim
