domain,condition,model_seed,candidate,evaluation_version,N_streams,candidate_total_byte_cap,candidate_amortized_bytes,candidate_stream_bytes,candidate_shared_bytes,candidate_empirical_T05,candidate_supported_T05,candidate_empirical_T05_status,candidate_supported_T05_status,candidate_rmst,candidate_failure_probability_2048,feasible_baseline_count,feasible_baselines,native_fp32_feasible,best_TEST_supported_baseline,best_TEST_supported_T05,best_TEST_empirical_baseline,best_TEST_empirical_T05,best_TEST_rmst_baseline,best_TEST_baseline_rmst,descriptive_rmst_delta_vs_best_feasible,baseline_selection_scope,horizon_comparison_scope
toy,s4_signed_lattice,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,1,4496,4496.0,24,4472,2048,2048,>=2048,>=2048,2048.0,0.0,1,NATIVE_FP32,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,16,4856,303.5,24,4472,2048,2048,>=2048,>=2048,2048.0,0.0,1,NATIVE_FP32,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,128,7544,58.9375,24,4472,2048,2048,>=2048,>=2048,2048.0,0.0,18,MIXED_4_8;MIXED_6_8;NATIVE_FP32;UNIFORM_10;UNIFORM_11;UNIFORM_12;UNIFORM_13;UNIFORM_14;UNIFORM_15;UNIFORM_16;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6;UNIFORM_7;UNIFORM_8;UNIFORM_9,True,UNIFORM_4,2048,UNIFORM_4,2048,UNIFORM_4,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,1,4512,4512.0,40,4472,2048,2048,>=2048,>=2048,2048.0,0.0,2,NATIVE_FP32;NATIVE_FP64,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,16,5112,319.5,40,4472,2048,2048,>=2048,>=2048,2048.0,0.0,19,MIXED_4_8;MIXED_6_8;NATIVE_FP32;NATIVE_FP64;UNIFORM_10;UNIFORM_11;UNIFORM_12;UNIFORM_13;UNIFORM_14;UNIFORM_15;UNIFORM_16;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6;UNIFORM_7;UNIFORM_8;UNIFORM_9,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,128,9592,74.9375,40,4472,2048,2048,>=2048,>=2048,2048.0,0.0,20,MIXED_4_8;MIXED_6_8;NATIVE_FP32;NATIVE_FP64;STOCHASTIC_4;UNIFORM_10;UNIFORM_11;UNIFORM_12;UNIFORM_13;UNIFORM_14;UNIFORM_15;UNIFORM_16;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6;UNIFORM_7;UNIFORM_8;UNIFORM_9,True,UNIFORM_4,2048,UNIFORM_4,2048,UNIFORM_4,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_2,v1-unchanged-finite-nonstochastic,1,4701,4701.0,13,4688,,,no qualifying grid horizon (<32),no qualifying grid horizon (<32),0.966796875,1.0,3,NATIVE_FP32;NATIVE_FP64;UNIFORM_2,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,-2047.033203125,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_2,v1-unchanged-finite-nonstochastic,16,4896,306.0,13,4688,,,no qualifying grid horizon (<32),no qualifying grid horizon (<32),0.966796875,1.0,2,NATIVE_FP32;UNIFORM_2,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,-2047.033203125,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_2,v1-unchanged-finite-nonstochastic,128,6352,49.625,13,4688,,,no qualifying grid horizon (<32),no qualifying grid horizon (<32),0.966796875,1.0,1,UNIFORM_2,False,UNIFORM_2,,UNIFORM_2,,UNIFORM_2,0.966796875,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_3,v1-unchanged-finite-nonstochastic,1,4702,4702.0,14,4688,2048,2048,>=2048,>=2048,2048.0,0.0,5,NATIVE_FP32;NATIVE_FP64;UNIFORM_2;UNIFORM_3;UNIFORM_4,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_3,v1-unchanged-finite-nonstochastic,16,4912,307.0,14,4688,2048,2048,>=2048,>=2048,2048.0,0.0,4,NATIVE_FP32;UNIFORM_2;UNIFORM_3;UNIFORM_4,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_3,v1-unchanged-finite-nonstochastic,128,6480,50.625,14,4688,2048,2048,>=2048,>=2048,2048.0,0.0,3,UNIFORM_2;UNIFORM_3;UNIFORM_4,False,UNIFORM_4,2048,UNIFORM_4,2048,UNIFORM_4,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_4,v1-unchanged-finite-nonstochastic,1,4702,4702.0,14,4688,2048,2048,>=2048,>=2048,2048.0,0.0,5,NATIVE_FP32;NATIVE_FP64;UNIFORM_2;UNIFORM_3;UNIFORM_4,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_4,v1-unchanged-finite-nonstochastic,16,4912,307.0,14,4688,2048,2048,>=2048,>=2048,2048.0,0.0,4,NATIVE_FP32;UNIFORM_2;UNIFORM_3;UNIFORM_4,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_4,v1-unchanged-finite-nonstochastic,128,6480,50.625,14,4688,2048,2048,>=2048,>=2048,2048.0,0.0,3,UNIFORM_2;UNIFORM_3;UNIFORM_4,False,UNIFORM_4,2048,UNIFORM_4,2048,UNIFORM_4,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_5,v1-unchanged-finite-nonstochastic,1,4703,4703.0,15,4688,2048,2048,>=2048,>=2048,2048.0,0.0,7,NATIVE_FP32;NATIVE_FP64;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_5,v1-unchanged-finite-nonstochastic,16,4928,308.0,15,4688,2048,2048,>=2048,>=2048,2048.0,0.0,6,NATIVE_FP32;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_5,v1-unchanged-finite-nonstochastic,128,6608,51.625,15,4688,2048,2048,>=2048,>=2048,2048.0,0.0,5,UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6,False,UNIFORM_4,2048,UNIFORM_4,2048,UNIFORM_4,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_6,v1-unchanged-finite-nonstochastic,1,4703,4703.0,15,4688,2048,2048,>=2048,>=2048,2048.0,0.0,7,NATIVE_FP32;NATIVE_FP64;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
toy,s4_signed_lattice,,UNIFORM_6,v1-unchanged-finite-nonstochastic,16,4928,308.0,15,4688,2048,2048,>=2048,>=2048,2048.0,0.0,6,NATIVE_FP32;UNIFORM_2;UNIFORM_3;UNIFORM_4;UNIFORM_5;UNIFORM_6,True,NATIVE_FP32,2048,NATIVE_FP32,2048,NATIVE_FP32,2048.0,0.0,TEST descriptive best feasible baseline; not DEV-selected and not a statistical superiority test,comparison of reported lower bounds is not a test of true-horizon superiority
