model_seed,horizon,n_sequences,first_failures,survival_probability,all_token_correct,all_token_total,all_token_accuracy,final_quarter_correct,final_quarter_total,final_quarter_accuracy,final_quarter_chance_scaled_accuracy,chance_scaling_definition,failure_probability_upper_bound,confidence_family_size,bos_accuracy,bos_excluded_from_scored_steps,source_directory_name,source_json_name,source_json_sha256
0,32,512,0,1.0,16384,16384,1.0,4096,4096,1.0,1.0,(raw_accuracy - 1/6)/(1 - 1/6); raw accuracy is the primary displayed column,0.017996927961500465,546,1.0,True,learned-seed0,TEST/NATIVE_FP32.json,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93
0,64,512,0,1.0,32768,32768,1.0,8192,8192,1.0,1.0,(raw_accuracy - 1/6)/(1 - 1/6); raw accuracy is the primary displayed column,0.017996927961500465,546,1.0,True,learned-seed0,TEST/NATIVE_FP32.json,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93
0,128,512,18,0.96484375,65488,65536,0.999267578125,16339,16384,0.99725341796875,0.9967041015625,(raw_accuracy - 1/6)/(1 - 1/6); raw accuracy is the primary displayed column,0.0760303754203286,546,1.0,True,learned-seed0,TEST/NATIVE_FP32.json,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93
0,256,512,233,0.544921875,127926,131072,0.9759979248046875,30309,32768,0.924957275390625,0.90994873046875,(raw_accuracy - 1/6)/(1 - 1/6); raw accuracy is the primary displayed column,0.5386292095308438,546,1.0,True,learned-seed0,TEST/NATIVE_FP32.json,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93
0,512,512,489,0.044921875,225949,262144,0.8619270324707031,44262,65536,0.675384521484375,0.6104614257812501,(raw_accuracy - 1/6)/(1 - 1/6); raw accuracy is the primary displayed column,0.981805902197242,546,1.0,True,learned-seed0,TEST/NATIVE_FP32.json,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93
0,1024,512,512,0.0,336895,524288,0.6425762176513672,45876,131072,0.350006103515625,0.22000732421875,(raw_accuracy - 1/6)/(1 - 1/6); raw accuracy is the primary displayed column,1.0,546,1.0,True,learned-seed0,TEST/NATIVE_FP32.json,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93
0,2048,512,512,0.0,450246,1048576,0.42938804626464844,49104,262144,0.18731689453125,0.02478027343750001,(raw_accuracy - 1/6)/(1 - 1/6); raw accuracy is the primary displayed column,1.0,546,1.0,True,learned-seed0,TEST/NATIVE_FP32.json,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93
1,32,512,0,1.0,16384,16384,1.0,4096,4096,1.0,1.0,(raw_accuracy - 1/6)/(1 - 1/6); raw accuracy is the primary displayed column,0.017996927961500465,546,0.0,True,learned-seed1,TEST/NATIVE_FP32.json,2ef49774e1416f6818d6483e5de4a1958740b116b4b31ed5970f6c45ab7dc477
1,64,512,3,0.994140625,32762,32768,0.99981689453125,8186,8192,0.999267578125,0.99912109375,(raw_accuracy - 1/6)/(1 - 1/6); raw accuracy is the primary displayed column,0.030895099052133404,546,0.0,True,learned-seed1,TEST/NATIVE_FP32.json,2ef49774e1416f6818d6483e5de4a1958740b116b4b31ed5970f6c45ab7dc477
1,128,512,53,0.896484375,65245,65536,0.9955596923828125,16129,16384,0.98443603515625,0.9813232421875,(raw_accuracy - 1/6)/(1 - 1/6); raw accuracy is the primary displayed column,0.16237401896463163,546,0.0,True,learned-seed1,TEST/NATIVE_FP32.json,2ef49774e1416f6818d6483e5de4a1958740b116b4b31ed5970f6c45ab7dc477
1,256,512,280,0.453125,125772,131072,0.959564208984375,29150,32768,0.88958740234375,0.8675048828125,(raw_accuracy - 1/6)/(1 - 1/6); raw accuracy is the primary displayed column,0.628650577973819,546,0.0,True,learned-seed1,TEST/NATIVE_FP32.json,2ef49774e1416f6818d6483e5de4a1958740b116b4b31ed5970f6c45ab7dc477
