phase,model_seed,arm,source_kind,source_family_size,joint_family_size,execution_status,per_stream_bytes,shared_bytes,rmst,final_survival,source_json,source_json_sha256,additional_complete_call_timing,n_sequences,max_horizon,observed_failures,right_censored_sequences,final_failure_probability,empirical_T05,empirical_T05_status,supported_T05,supported_T05_status,empirical_T01,empirical_T01_status,supported_T01,supported_T01_status,total_bytes_N1,amortized_bytes_N1,total_bytes_N16,amortized_bytes_N16,total_bytes_N128,amortized_bytes_N128
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_4,original,546,630,COMPLETE,3176,29934,282.251953125,0.0,original_seed0/TEST/FULL_RESIDUAL_4_4.json,537b202c3648be90fd40b31ffd0e34c37a1a2d334b1e849c83974007c2ccada3,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,33110,33110.0,80750,5046.875,436462,3409.859375
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_8,original,546,630,COMPLETE,4712,29934,282.884765625,0.0,original_seed0/TEST/FULL_RESIDUAL_4_8.json,7dc2ba425acb8da10fddf533ac89609dbb43e348e2e81afe0976dce2a0c29777,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,34646,34646.0,105326,6582.875,633070,4945.859375
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_FP32,original,546,630,COMPLETE,13880,29718,283.099609375,0.0,original_seed0/TEST/FULL_RESIDUAL_4_FP32.json,defcee98fa50a477fb5125234c0e04b9966f450c9b3f18a9245ae991abd882cd,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,43598,43598.0,251798,15737.375,1806358,14112.171875
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R1,original,546,630,COMPLETE,1832,30707,202.091796875,0.0,original_seed0/TEST/LOWRANK_4_8_R1.json,dd673747124ad02ce1ee701bafd79ec3eaab23ea1a17670dca4a75d5cd48a023,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32539,32539.0,60019,3751.1875,265203,2071.8984375
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R2,original,546,630,COMPLETE,2024,31475,282.890625,0.0,original_seed0/TEST/LOWRANK_4_8_R2.json,ccaf56039db2beff7fb3a7fd18d02495a2ca4410815b0e25bbfd74b84c417911,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,33499,33499.0,63859,3991.1875,290547,2269.8984375
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R4,original,546,630,COMPLETE,2408,33011,241.79296875,0.0,original_seed0/TEST/LOWRANK_4_8_R4.json,9f49b4accf2f270b4692c10fb21550560d04cedf6bb098b9ab7ac546d4b42bee,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,35419,35419.0,71539,4471.1875,341235,2665.8984375
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8,original,546,630,COMPLETE,1976,30031,231.296875,0.0,original_seed0/TEST/MIXED_4_8.json,e637ec3a3976426612aad748fe02dfd1dc19781c0552116414218c6b34ce8267,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32007,32007.0,61647,3852.9375,282959,2210.6171875
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP2,supplement,630,630,COMPLETE,1784,30031,209.70703125,0.0,supplement_seed0/TEST/MIXED_4_8_TOP2.json,9ee66a503c00ee889cc40bca663f34ce37dfa9f1c385b8ad2837d36bc40a491a,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,31815,31815.0,58575,3660.9375,258383,2018.6171875
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP5,supplement,630,630,COMPLETE,2072,30031,228.732421875,0.0,supplement_seed0/TEST/MIXED_4_8_TOP5.json,a6cd917db8176d62391caf61df81a18ecf003b8e5b93543e4eeb726acc4c81bf,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32103,32103.0,63183,3948.9375,295247,2306.6171875
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8,original,546,630,COMPLETE,2744,30031,276.1171875,0.0,original_seed0/TEST/MIXED_6_8.json,2339246dc9135bec8b08e7fbcde7af7065f3c4784576e58662137aab13bec5cc,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32775,32775.0,73935,4620.9375,381263,2978.6171875
