phase,model_seed,arm,n_sequences,source_family_size,joint_family_size,source_failure_upper_bound,source_json_sha256,horizon,first_failures,failure_probability,survival_probability,failure_upper_bound,survival_lower_bound
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_4,512,546,630,0.017996927961500465,537b202c3648be90fd40b31ffd0e34c37a1a2d334b1e849c83974007c2ccada3,32,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_4,512,546,630,0.017996927961500465,537b202c3648be90fd40b31ffd0e34c37a1a2d334b1e849c83974007c2ccada3,64,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_4,512,546,630,0.07871423150530982,537b202c3648be90fd40b31ffd0e34c37a1a2d334b1e849c83974007c2ccada3,128,19,0.037109375,0.962890625,0.07918435614280188,0.9208156438571982
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_4,512,546,630,0.5580133517311063,537b202c3648be90fd40b31ffd0e34c37a1a2d334b1e849c83974007c2ccada3,256,243,0.474609375,0.525390625,0.5587954868523066,0.4412045131476934
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_4,512,546,630,0.981805902197242,537b202c3648be90fd40b31ffd0e34c37a1a2d334b1e849c83974007c2ccada3,512,489,0.955078125,0.044921875,0.9819839056061589,0.01801609439384111
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_4,512,546,630,1.0,537b202c3648be90fd40b31ffd0e34c37a1a2d334b1e849c83974007c2ccada3,1024,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_4,512,546,630,1.0,537b202c3648be90fd40b31ffd0e34c37a1a2d334b1e849c83974007c2ccada3,2048,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_8,512,546,630,0.017996927961500465,7dc2ba425acb8da10fddf533ac89609dbb43e348e2e81afe0976dce2a0c29777,32,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_8,512,546,630,0.017996927961500465,7dc2ba425acb8da10fddf533ac89609dbb43e348e2e81afe0976dce2a0c29777,64,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_8,512,546,630,0.0760303754203286,7dc2ba425acb8da10fddf533ac89609dbb43e348e2e81afe0976dce2a0c29777,128,18,0.03515625,0.96484375,0.07649419646723002,0.92350580353277
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_8,512,546,630,0.5405732661723032,7dc2ba425acb8da10fddf533ac89609dbb43e348e2e81afe0976dce2a0c29777,256,234,0.45703125,0.54296875,0.5413596757814092,0.4586403242185908
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_8,512,546,630,0.981805902197242,7dc2ba425acb8da10fddf533ac89609dbb43e348e2e81afe0976dce2a0c29777,512,489,0.955078125,0.044921875,0.9819839056061589,0.01801609439384111
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_8,512,546,630,1.0,7dc2ba425acb8da10fddf533ac89609dbb43e348e2e81afe0976dce2a0c29777,1024,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_8,512,546,630,1.0,7dc2ba425acb8da10fddf533ac89609dbb43e348e2e81afe0976dce2a0c29777,2048,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_FP32,512,546,630,0.017996927961500465,defcee98fa50a477fb5125234c0e04b9966f450c9b3f18a9245ae991abd882cd,32,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_FP32,512,546,630,0.017996927961500465,defcee98fa50a477fb5125234c0e04b9966f450c9b3f18a9245ae991abd882cd,64,0,0.0,1.0,0.018271353414420138,0.9817286465855799
