model_seed,mode,N,writes_per_sequence,includes_BOS,includes_post_failure,state_difference_l2_from_D00__valid_count,state_difference_l2_from_D00__mean,state_difference_l2_from_D00__median,state_difference_l2_from_D00__minimum,state_difference_l2_from_D00__maximum,state_difference_mse_from_D00__valid_count,state_difference_mse_from_D00__mean,state_difference_mse_from_D00__median,state_difference_mse_from_D00__minimum,state_difference_mse_from_D00__maximum,logit_max_difference_from_D00__valid_count,logit_max_difference_from_D00__mean,logit_max_difference_from_D00__median,logit_max_difference_from_D00__minimum,logit_max_difference_from_D00__maximum,state_relative_l2__valid_count,state_relative_l2__mean,state_relative_l2__median,state_relative_l2__minimum,state_relative_l2__maximum
0,D00,32,2049,True,True,65568,0.0,0.0,0.0,0.0,65568,0.0,0.0,0.0,0.0,65568,0.0,0.0,0.0,0.0,65568,0.0,0.0,0.0,0.0
0,D10,32,2049,True,True,65568,0.0031368724444197815,0.0031254026954710924,7.910662310648767e-06,0.006979462656367803,65568,4.198544627147368e-09,3.179733728755955e-09,2.0370630922239225e-14,1.5857063467328354e-08,65568,7.919171164171356e-05,5.7220458984375e-05,0.0,0.00194549560546875,65568,9.594274721827846e-07,1.0064297750120147e-06,2.8875671393211098e-08,1.6381514645151258e-06
0,D01,32,2049,True,True,65568,0.0,0.0,0.0,0.0,65568,0.0,0.0,0.0,0.0,65568,1.0270631432211883e-05,9.31749038812768e-06,5.976838082233371e-07,5.314545740020549e-05,65568,0.0,0.0,0.0,0.0
0,D11,32,2049,True,True,65568,0.0031368724444197815,0.0031254026954710924,7.910662310648767e-06,0.006979462656367803,65568,4.198544627147368e-09,3.179733728755955e-09,2.0370630922239225e-14,1.5857063467328354e-08,65568,7.910592987841703e-05,5.6144061492346964e-05,1.7487975583208026e-06,0.0019457508141726976,65568,9.594274721827846e-07,1.0064297750120147e-06,2.8875671393211098e-08,1.6381514645151258e-06
1,D00,32,2049,True,True,65568,0.0,0.0,0.0,0.0,65568,0.0,0.0,0.0,0.0,65568,0.0,0.0,0.0,0.0,65568,0.0,0.0,0.0,0.0
1,D10,32,2049,True,True,65568,0.0021406285606410396,0.00220474401971234,9.01508145974507e-06,0.004326455122626595,65568,1.8317857904827327e-09,1.5823229793216453e-09,2.6455629468046643e-14,6.093168596387341e-09,65568,8.3323877637505e-05,6.103515625e-05,0.0,0.001537322998046875,65568,1.206688018932515e-06,1.2404195087379288e-06,2.812276547047473e-08,2.3004543035917183e-06
1,D01,32,2049,True,True,65568,0.0,0.0,0.0,0.0,65568,0.0,0.0,0.0,0.0,65568,1.0229554853209663e-05,9.275856598378596e-06,5.734033194926269e-07,4.714271166506023e-05,65568,0.0,0.0,0.0,0.0
1,D11,32,2049,True,True,65568,0.0021406285606410396,0.00220474401971234,9.01508145974507e-06,0.004326455122626595,65568,1.8317857904827327e-09,1.5823229793216453e-09,2.6455629468046643e-14,6.093168596387341e-09,65568,8.315164876584392e-05,6.058386840851471e-05,1.191283640622487e-06,0.001540912465884503,65568,1.206688018932515e-06,1.2404195087379288e-06,2.812276547047473e-08,2.3004543035917183e-06
2,D00,32,2049,True,True,65568,0.0,0.0,0.0,0.0,65568,0.0,0.0,0.0,0.0,65568,0.0,0.0,0.0,0.0,65568,0.0,0.0,0.0,0.0
2,D10,32,2049,True,True,65568,0.0018773100853217357,0.0018921426799355975,9.076020301123627e-06,0.004423003645222609,65568,1.4336015112049224e-09,1.1654309643825484e-09,2.6814500164846423e-14,6.368151447152503e-09,65568,0.00010812970942416735,8.58306884765625e-05,0.0,0.0034084320068359375,65568,1.1837235276771354e-06,1.226048807894543e-06,2.708238858711314e-08,2.1691556935283076e-06
2,D01,32,2049,True,True,65568,0.0,0.0,0.0,0.0,65568,0.0,0.0,0.0,0.0,65568,9.377298453283783e-06,8.670162667812065e-06,1.0356367159403135e-06,5.5579947229489335e-05,65568,0.0,0.0,0.0,0.0
2,D11,32,2049,True,True,65568,0.0018773100853217357,0.0018921426799355975,9.076020301123627e-06,0.004423003645222609,65568,1.4336015112049224e-09,1.1654309643825484e-09,2.6814500164846423e-14,6.368151447152503e-09,65568,0.00010781240883053975,8.548375198635938e-05,1.4345113328317893e-06,0.0034213254692332384,65568,1.1837235276771354e-06,1.226048807894543e-06,2.708238858711314e-08,2.1691556935283076e-06
