model_seed,mode,N,scored_tokens_per_sequence,RMST0,empirical_T05_all_tokens,token_accuracy,final_quarter_accuracy,S128,S512,S2048,BOS_accuracy,terminal_sequences,confidence_family
0,D00,32,2048,290.375,129,0.454254150390625,0.173828125,1.0,0.0625,0.0,1.0,0,
0,D10,32,2048,290.375,129,0.454254150390625,0.173828125,1.0,0.0625,0.0,1.0,0,
0,D01,32,2048,290.375,129,0.454254150390625,0.173828125,1.0,0.0625,0.0,1.0,0,
0,D11,32,2048,290.375,129,0.454254150390625,0.173828125,1.0,0.0625,0.0,1.0,0,
1,D00,32,2048,279.6875,141,0.525299072265625,0.35137939453125,0.96875,0.0625,0.0,0.0,0,
1,D10,32,2048,279.6875,141,0.525299072265625,0.35137939453125,0.96875,0.0625,0.0,0.0,0,
1,D01,32,2048,279.6875,141,0.525299072265625,0.35137939453125,0.96875,0.0625,0.0,0.0,0,
1,D11,32,2048,279.6875,141,0.525299072265625,0.35137939453125,0.96875,0.0625,0.0,0.0,0,
2,D00,32,2048,236.75,157,0.3914031982421875,0.1568603515625,0.96875,0.0,0.0,1.0,0,
2,D10,32,2048,236.75,157,0.3914031982421875,0.1568603515625,0.96875,0.0,0.0,1.0,0,
2,D01,32,2048,236.75,157,0.3914031982421875,0.1568603515625,0.96875,0.0,0.0,1.0,0,
2,D11,32,2048,236.75,157,0.3914031982421875,0.1568603515625,0.96875,0.0,0.0,1.0,0,
