model_seed,mode_a,mode_b,N,scored_prediction_denominator,scored_prediction_disagreements,scored_disagreement_fraction,BOS_denominator,BOS_disagreements,tau_equal_sequences,tau_comparison_denominator
0,D00,D10,32,65536,0,0.0,32,0,32,32
0,D00,D01,32,65536,0,0.0,32,0,32,32
0,D00,D11,32,65536,0,0.0,32,0,32,32
0,D10,D01,32,65536,0,0.0,32,0,32,32
0,D10,D11,32,65536,0,0.0,32,0,32,32
0,D01,D11,32,65536,0,0.0,32,0,32,32
1,D00,D10,32,65536,0,0.0,32,0,32,32
1,D00,D01,32,65536,0,0.0,32,0,32,32
1,D00,D11,32,65536,0,0.0,32,0,32,32
1,D10,D01,32,65536,0,0.0,32,0,32,32
1,D10,D11,32,65536,0,0.0,32,0,32,32
1,D01,D11,32,65536,0,0.0,32,0,32,32
2,D00,D10,32,65536,0,0.0,32,0,32,32
2,D00,D01,32,65536,0,0.0,32,0,32,32
2,D00,D11,32,65536,0,0.0,32,0,32,32
2,D10,D01,32,65536,0,0.0,32,0,32,32
2,D10,D11,32,65536,0,0.0,32,0,32,32
2,D01,D11,32,65536,0,0.0,32,0,32,32
