model_seed,arm,N_streams,per_stream_bytes,header_bytes,shared_bytes,shared_codec_bytes,shared_token_table_bytes,shared_runtime_metadata_bytes,total_bytes,amortized_bytes,scope
0,NATIVE_FP32,1,12305,17,30344,874,29100,370,42649,42649.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,NATIVE_FP32,16,12305,17,30344,874,29100,370,227224,14201.5,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,NATIVE_FP32,128,12305,17,30344,874,29100,370,1605384,12542.0625,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,UNIFORM_8,1,3137,17,30560,1090,29100,370,33697,33697.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,UNIFORM_8,16,3137,17,30560,1090,29100,370,80752,5047.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,UNIFORM_8,128,3137,17,30560,1090,29100,370,432096,3375.75,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,UNIFORM_5,1,1985,17,30560,1090,29100,370,32545,32545.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,UNIFORM_5,16,1985,17,30560,1090,29100,370,62320,3895.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,UNIFORM_5,128,1985,17,30560,1090,29100,370,284640,2223.75,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,LOWRANK_4_8_R2,1,2033,17,32409,2939,29100,370,34442,34442.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,LOWRANK_4_8_R2,16,2033,17,32409,2939,29100,370,64937,4058.5625,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,LOWRANK_4_8_R2,128,2033,17,32409,2939,29100,370,292633,2286.1953125,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,MIXED_5_6_BUDGET,1,2043,17,30965,1495,29100,370,33008,33008.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,MIXED_5_6_BUDGET,16,2043,17,30965,1495,29100,370,63653,3978.3125,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
0,MIXED_5_6_BUDGET,128,2043,17,30965,1495,29100,370,292469,2284.9140625,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,NATIVE_FP32,1,12305,17,30344,874,29100,370,42649,42649.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,NATIVE_FP32,16,12305,17,30344,874,29100,370,227224,14201.5,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,NATIVE_FP32,128,12305,17,30344,874,29100,370,1605384,12542.0625,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,UNIFORM_8,1,3137,17,30560,1090,29100,370,33697,33697.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,UNIFORM_8,16,3137,17,30560,1090,29100,370,80752,5047.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,UNIFORM_8,128,3137,17,30560,1090,29100,370,432096,3375.75,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,UNIFORM_5,1,1985,17,30560,1090,29100,370,32545,32545.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,UNIFORM_5,16,1985,17,30560,1090,29100,370,62320,3895.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,UNIFORM_5,128,1985,17,30560,1090,29100,370,284640,2223.75,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,LOWRANK_4_8_R2,1,2033,17,32409,2939,29100,370,34442,34442.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,LOWRANK_4_8_R2,16,2033,17,32409,2939,29100,370,64937,4058.5625,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,LOWRANK_4_8_R2,128,2033,17,32409,2939,29100,370,292633,2286.1953125,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,MIXED_5_6_BUDGET,1,2043,17,30965,1495,29100,370,33008,33008.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,MIXED_5_6_BUDGET,16,2043,17,30965,1495,29100,370,63653,3978.3125,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
1,MIXED_5_6_BUDGET,128,2043,17,30965,1495,29100,370,292469,2284.9140625,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,NATIVE_FP32,1,12305,17,30344,874,29100,370,42649,42649.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,NATIVE_FP32,16,12305,17,30344,874,29100,370,227224,14201.5,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,NATIVE_FP32,128,12305,17,30344,874,29100,370,1605384,12542.0625,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,UNIFORM_8,1,3137,17,30560,1090,29100,370,33697,33697.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,UNIFORM_8,16,3137,17,30560,1090,29100,370,80752,5047.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,UNIFORM_8,128,3137,17,30560,1090,29100,370,432096,3375.75,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,UNIFORM_5,1,1985,17,30560,1090,29100,370,32545,32545.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,UNIFORM_5,16,1985,17,30560,1090,29100,370,62320,3895.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,UNIFORM_5,128,1985,17,30560,1090,29100,370,284640,2223.75,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,LOWRANK_4_8_R2,1,2033,17,32409,2939,29100,370,34442,34442.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,LOWRANK_4_8_R2,16,2033,17,32409,2939,29100,370,64937,4058.5625,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,LOWRANK_4_8_R2,128,2033,17,32409,2939,29100,370,292633,2286.1953125,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,MIXED_5_6_BUDGET,1,2043,17,30965,1495,29100,370,33008,33008.0,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,MIXED_5_6_BUDGET,16,2043,17,30965,1495,29100,370,63653,3978.3125,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
2,MIXED_5_6_BUDGET,128,2043,17,30965,1495,29100,370,292469,2284.9140625,serialized cache/config/basis/table/runtime; common model weights and evaluator history excluded
