model_seed,arm,N,T,family_size,RMST0,empirical_T05_all_tokens,empirical_T01_all_tokens,supported_T05_grid,supported_T01_grid,token_accuracy,final_quarter_accuracy,bos_accuracy,first_failure_censored,terminal_count,invalid_prediction_tokens,execution_status,per_stream_bytes,shared_bytes
0,NATIVE_FP32,1024,2048,195,288.568359375,135,107,112,48,0.4369945526123047,0.19026565551757812,1.0,0,0,0,COMPLETE,12305,30344
0,UNIFORM_8,1024,2048,195,288.1201171875,136,106,112,48,0.43370485305786133,0.1898784637451172,1.0,0,0,0,COMPLETE,3137,30560
0,UNIFORM_5,1024,2048,195,242.845703125,123,90,96,48,0.44624757766723633,0.26331138610839844,1.0,0,0,0,COMPLETE,1985,30560
0,LOWRANK_4_8_R2,1024,2048,195,277.46875,129,96,112,32,0.5445375442504883,0.36540985107421875,1.0,0,0,0,COMPLETE,2033,32409
0,MIXED_5_6_BUDGET,1024,2048,195,268.1962890625,132,107,112,64,0.47318410873413086,0.29749298095703125,1.0,0,0,0,COMPLETE,2043,30965
1,NATIVE_FP32,1024,2048,195,271.154296875,118,85,96,48,0.5125646591186523,0.3580036163330078,0.0,0,0,0,COMPLETE,12305,30344
1,UNIFORM_8,1024,2048,195,271.5703125,118,87,96,48,0.5112829208374023,0.35669898986816406,0.0,0,0,0,COMPLETE,3137,30560
1,UNIFORM_5,1024,2048,195,220.3466796875,96,77,80,32,0.46921825408935547,0.3391227722167969,0.0,0,0,0,COMPLETE,1985,30560
1,LOWRANK_4_8_R2,1024,2048,195,219.9677734375,112,84,96,32,0.4552464485168457,0.33783912658691406,0.0,0,0,0,COMPLETE,2033,32409
1,MIXED_5_6_BUDGET,1024,2048,195,240.7294921875,110,87,96,64,0.48019886016845703,0.33301734924316406,0.0,0,0,0,COMPLETE,2043,30965
2,NATIVE_FP32,1024,2048,195,238.2802734375,142,114,128,80,0.3967013359069824,0.17353057861328125,1.0,0,0,0,COMPLETE,12305,30344
2,UNIFORM_8,1024,2048,195,237.4931640625,141,110,128,80,0.3968524932861328,0.17405319213867188,1.0,0,0,0,COMPLETE,3137,30560
2,UNIFORM_5,1024,2048,195,222.765625,133,106,112,64,0.37780094146728516,0.1672649383544922,1.0,0,0,0,COMPLETE,1985,30560
2,LOWRANK_4_8_R2,1024,2048,195,235.5966796875,141,116,128,96,0.4079742431640625,0.18797683715820312,1.0,0,0,0,COMPLETE,2033,32409
2,MIXED_5_6_BUDGET,1024,2048,195,230.6875,139,108,112,80,0.3848404884338379,0.16634750366210938,1.0,0,0,0,COMPLETE,2043,30965
