model_seed,arm,source_kind,joint_family_size,n_sequences,per_stream_bytes,shared_bytes,total_bytes_N1,total_bytes_N16,total_bytes_N128,rmst_tokens,supported_grid_T05,empirical_grid_T05
0,FULL_RESIDUAL_4_4,original,630,512,3176,29934,33110,80750,436462,282.251953125,64,128
0,FULL_RESIDUAL_4_8,original,630,512,4712,29934,34646,105326,633070,282.884765625,64,128
0,FULL_RESIDUAL_4_FP32,original,630,512,13880,29718,43598,251798,1806358,283.099609375,64,128
0,LOWRANK_4_8_R1,original,630,512,1832,30707,32539,60019,265203,202.091796875,64,64
0,LOWRANK_4_8_R2,original,630,512,2024,31475,33499,63859,290547,282.890625,64,128
0,LOWRANK_4_8_R4,original,630,512,2408,33011,35419,71539,341235,241.79296875,64,128
0,MIXED_4_8,original,630,512,1976,30031,32007,61647,282959,231.296875,64,128
0,MIXED_4_8_TOP2,supplement,630,512,1784,30031,31815,58575,258383,209.70703125,64,64
0,MIXED_4_8_TOP5,supplement,630,512,2072,30031,32103,63183,295247,228.732421875,64,128
0,MIXED_6_8,original,630,512,2744,30031,32775,73935,381263,276.1171875,64,128
0,MIXED_6_8_TOP1,supplement,630,512,2408,30031,32439,68559,338255,273.408203125,64,128
0,MIXED_6_8_TOP4,supplement,630,512,2552,30031,32583,70863,356687,283.775390625,64,128
0,NATIVE_FP32,original,630,512,12296,29410,41706,226146,1603298,283.099609375,64,128
0,STOCHASTIC_4,original,630,512,1608,29678,31286,55406,235502,80.123046875,32,32
0,UNIFORM_10,original,630,512,3896,29627,33523,91963,528315,283.822265625,64,128
0,UNIFORM_11,original,630,512,4280,29627,33907,98107,577467,282.34765625,64,128
0,UNIFORM_12,original,630,512,4664,29627,34291,104251,626619,282.982421875,64,128
0,UNIFORM_13,original,630,512,5048,29627,34675,110395,675771,283.041015625,64,128
0,UNIFORM_14,original,630,512,5432,29627,35059,116539,724923,283.125,64,128
0,UNIFORM_15,original,630,512,5816,29627,35443,122683,774075,282.8125,64,128
0,UNIFORM_16,original,630,512,6200,29627,35827,128827,823227,283.099609375,64,128
0,UNIFORM_2,original,630,512,824,29626,30450,42810,135098,7.962890625,,
0,UNIFORM_3,original,630,512,1208,29626,30834,48954,184250,50.783203125,,
0,UNIFORM_4,original,630,512,1592,29626,31218,55098,233402,147.93359375,32,64
0,UNIFORM_5,original,630,512,1976,29626,31602,61242,282554,235.82421875,64,64
0,UNIFORM_6,original,630,512,2360,29626,31986,67386,331706,273.939453125,64,128
0,UNIFORM_7,original,630,512,2744,29626,32370,73530,380858,282.333984375,64,128
0,UNIFORM_8,original,630,512,3128,29626,32754,79674,430010,283.435546875,64,128
0,UNIFORM_9,original,630,512,3512,29626,33138,85818,479162,284.83203125,64,128
0,UNTRANSPORTED_4_4,original,630,512,3176,29936,33112,80752,436464,84.509765625,32,32
1,FULL_RESIDUAL_4_4,original,630,512,3176,29934,33110,80750,436462,270.021484375,64,64
1,FULL_RESIDUAL_4_8,original,630,512,4712,29934,34646,105326,633070,271.46875,64,64
1,FULL_RESIDUAL_4_FP32,original,630,512,13880,29718,43598,251798,1806358,271.23828125,64,64
1,LOWRANK_4_8_R1,original,630,512,1832,30707,32539,60019,265203,176.75,32,64
1,LOWRANK_4_8_R2,original,630,512,2024,31475,33499,63859,290547,218.3984375,64,64
1,LOWRANK_4_8_R4,original,630,512,2408,33011,35419,71539,341235,235.818359375,64,64
1,MIXED_4_8,original,630,512,1976,30031,32007,61647,282959,196.529296875,64,64
1,MIXED_4_8_TOP2,supplement,630,512,1784,30031,31815,58575,258383,183.43359375,64,64
1,MIXED_4_8_TOP5,supplement,630,512,2072,30031,32103,63183,295247,217.3046875,64,64
1,MIXED_6_8,original,630,512,2744,30031,32775,73935,381263,271.06640625,64,64
1,MIXED_6_8_TOP1,supplement,630,512,2408,30031,32439,68559,338255,259.166015625,64,64
1,MIXED_6_8_TOP4,supplement,630,512,2552,30031,32583,70863,356687,268.65625,64,64
1,NATIVE_FP32,original,630,512,12296,29410,41706,226146,1603298,271.23828125,64,64
1,STOCHASTIC_4,original,630,512,1608,29678,31286,55406,235502,70.623046875,,
1,UNIFORM_10,original,630,512,3896,29627,33523,91963,528315,271.46875,64,64
1,UNIFORM_11,original,630,512,4280,29627,33907,98107,577467,272.056640625,64,64
1,UNIFORM_12,original,630,512,4664,29627,34291,104251,626619,271.244140625,64,64
1,UNIFORM_13,original,630,512,5048,29627,34675,110395,675771,271.42578125,64,64
1,UNIFORM_14,original,630,512,5432,29627,35059,116539,724923,271.38671875,64,64
1,UNIFORM_15,original,630,512,5816,29627,35443,122683,774075,271.19140625,64,64
1,UNIFORM_16,original,630,512,6200,29627,35827,128827,823227,271.3828125,64,64
1,UNIFORM_2,original,630,512,824,29626,30450,42810,135098,5.2734375,,
1,UNIFORM_3,original,630,512,1208,29626,30834,48954,184250,45.15625,,
1,UNIFORM_4,original,630,512,1592,29626,31218,55098,233402,124.3203125,32,32
1,UNIFORM_5,original,630,512,1976,29626,31602,61242,282554,211.859375,64,64
1,UNIFORM_6,original,630,512,2360,29626,31986,67386,331706,258.01953125,64,64
1,UNIFORM_7,original,630,512,2744,29626,32370,73530,380858,268.951171875,64,64
1,UNIFORM_8,original,630,512,3128,29626,32754,79674,430010,270.3125,64,64
1,UNIFORM_9,original,630,512,3512,29626,33138,85818,479162,272.65625,64,64
1,UNTRANSPORTED_4_4,original,630,512,3176,29936,33112,80752,436464,63.3828125,,
2,FULL_RESIDUAL_4_4,original,630,512,3176,29934,33110,80750,436462,238.890625,64,128
2,FULL_RESIDUAL_4_8,original,630,512,4712,29934,34646,105326,633070,240.158203125,64,128
