model_seed,N_streams,candidate,baseline,candidate_total_bytes,baseline_total_bytes,rmst_delta_tokens,pointwise_ci95_low,pointwise_ci95_high,paired_sequences,bootstrap_repeats,bootstrap_seed,rng_substream,scope
0,1,FULL_RESIDUAL_4_4,MIXED_6_8_TOP4,33110,32583,-1.5234375,-6.931884765625,3.923974609374998,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,16,FULL_RESIDUAL_4_4,MIXED_6_8_TOP4,80750,70863,-1.5234375,-6.931884765625,3.923974609374998,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,128,FULL_RESIDUAL_4_4,MIXED_6_8_TOP4,436462,356687,-1.5234375,-6.931884765625,3.923974609374998,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,1,FULL_RESIDUAL_4_8,UNIFORM_9,34646,33138,-1.947265625,-3.56259765625,-0.4218261718750007,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,16,FULL_RESIDUAL_4_8,UNIFORM_9,105326,85818,-1.947265625,-3.56259765625,-0.4218261718750007,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,128,FULL_RESIDUAL_4_8,UNIFORM_9,633070,479162,-1.947265625,-3.56259765625,-0.4218261718750007,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,1,FULL_RESIDUAL_4_FP32,UNIFORM_9,43598,33138,-1.732421875,-3.349658203125,-0.19521484375000142,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,16,FULL_RESIDUAL_4_FP32,UNIFORM_9,251798,85818,-1.732421875,-3.349658203125,-0.19521484375000142,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,128,FULL_RESIDUAL_4_FP32,UNIFORM_9,1806358,479162,-1.732421875,-3.349658203125,-0.19521484375000142,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,1,LOWRANK_4_8_R1,UNIFORM_7,32539,32370,-80.2421875,-90.89287109375,-69.964697265625,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,16,LOWRANK_4_8_R1,MIXED_4_8_TOP2,60019,58575,-7.615234375,-15.148974609375,0.07836914062499645,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,128,LOWRANK_4_8_R1,MIXED_4_8_TOP2,265203,258383,-7.615234375,-15.148974609375,0.07836914062499645,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,1,LOWRANK_4_8_R2,UNIFORM_9,33499,33138,-1.94140625,-14.580126953125,10.300878906249999,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,16,LOWRANK_4_8_R2,UNIFORM_5,63859,61242,47.06640625,35.690869140625,59.015771484374994,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
0,128,LOWRANK_4_8_R2,UNIFORM_5,290547,282554,47.06640625,35.690869140625,59.015771484374994,512,5000,41001,"SeedSequence([41001,0])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
