model_seed,arm,cohort,N,T,source_sequence_id,original_row,original_failure_write,actual_terminal_write,terminal_code,terminal_name,v1_v2_full_predictions_equal,v1_v2_final_body_hashes_equal,v1_full_split_predictions_equal,v1_first_split_difference_write,v1_first_split_difference_reference,v1_first_split_difference_resumed,v2_full_split_predictions_equal,v2_full_fresh_predictions_equal,v2_full_split_payload_hashes_equal,v2_full_fresh_payload_hashes_equal,post_failure_appendix_pass,post_failure_body_hash_frozen,post_failure_cursor_advances,fresh_resume_immediately_after_failure,A_finite_wrong_scored_tokens,B_invalid_active_readouts_including_BOS,BOS_invalid_predictions,C_terminal_sequences,active_update_attempts,terminal_noop_steps,receipt,receipt_sha256,boundary_receipt,boundary_receipt_sha256
0,FULL_RESIDUAL_4_4,EXTRA_FIRST4_DEV2001_T64,4,64,,,,,,,True,True,True,,,,True,True,True,True,,,,,0,0,0,0,260,0,results/historical/seed0/EXTRA_FIRST4_DEV2001_T64--FULL_RESIDUAL_4_4/receipt.json,60932b2951572014ca7a5041f58292204b7ff7d01d241ff575912b5299dbce64,,
0,LOWRANK_4_8_R1,EXTRA_FIRST4_DEV2001_T64,4,64,,,,,,,True,True,True,,,,True,True,True,True,,,,,0,0,0,0,260,0,results/historical/seed0/EXTRA_FIRST4_DEV2001_T64--LOWRANK_4_8_R1/receipt.json,1335b2b0d6d7c28a22ca55252c8a26fc2e6b190340c965a045cea54a24d217dc,,
0,LOWRANK_4_8_R2,HISTORICAL_FIRST16_TEST3001,16,2048,,,,,,,True,True,True,,,,True,True,True,True,,,,,13581,0,0,0,32784,0,results/historical/seed0/HISTORICAL_FIRST16_TEST3001--LOWRANK_4_8_R2/receipt.json,0a64a15b96912c55713858f1ceb5bd567584af4352a48edb78b2ee60daf29982,,
0,NATIVE_FP32,HISTORICAL_FIRST16_TEST3001,16,2048,,,,,,,True,True,True,,,,True,True,True,True,,,,,17721,0,0,0,32784,0,results/historical/seed0/HISTORICAL_FIRST16_TEST3001--NATIVE_FP32/receipt.json,9083e9ea24108db69afb1fc133dcc2422f860d97d23bcdd830cf391a7e1c0710,,
0,STOCHASTIC_8,EXTRA_FIRST4_DEV2001_T64,4,64,,,,,,,True,True,True,,,,True,True,True,True,,,,,0,0,0,0,260,0,results/historical/seed0/EXTRA_FIRST4_DEV2001_T64--STOCHASTIC_8/receipt.json,1d4ad0243ca4fa78762e82bb97577bdd73606912328306757554763bd080a3e0,,
0,UNIFORM_2,ORIGINAL_INVALID_STREAM_B1_TEST3001,1,2048,S3:TEST:3001:000077,77,838,838,2,TRANSITION_NONFINITE,True,False,False,1025,-1,3,True,True,True,True,True,True,True,True,502,0,0,1,839,1210,results/historical/seed0/ORIGINAL_INVALID_STREAM_B1_TEST3001--UNIFORM_2/receipt.json,c0345c3d037108542a6e8046e33f2d0d86ba60a46c7c2e1436dd494e9537810b,results/historical-failure-boundaries/seed0--UNIFORM_2/receipt.json,44d7bd2edf944cd9a55dba6b4134082dec58d163bf1131d51e796df0fffa5518
0,UNIFORM_3,ORIGINAL_INVALID_STREAM_B1_TEST3001,1,2048,S3:TEST:3001:000008,8,1741,1741,2,TRANSITION_NONFINITE,True,False,True,,,,True,True,True,True,True,True,True,True,1066,0,0,1,1742,307,results/historical/seed0/ORIGINAL_INVALID_STREAM_B1_TEST3001--UNIFORM_3/receipt.json,f511b097906e2191bc7d7ef2a2f78d7fce06b5ab2f196d1b770d67c91939e968,results/historical-failure-boundaries/seed0--UNIFORM_3/receipt.json,41e786392c761872dadf0800959cac37acadfb57f3da44a4b96df66d21c001e9
0,UNIFORM_5,HISTORICAL_FIRST16_TEST3001,16,2048,,,,,,,True,True,True,,,,True,True,True,True,,,,,17678,0,0,0,32784,0,results/historical/seed0/HISTORICAL_FIRST16_TEST3001--UNIFORM_5/receipt.json,dfd20ce4886575fdc156cb9978f21ed96e929223538c977fd8c3478df4cbda0a,,
0,UNIFORM_8,HISTORICAL_FIRST16_TEST3001,16,2048,,,,,,,True,True,True,,,,True,True,True,True,,,,,17920,0,0,0,32784,0,results/historical/seed0/HISTORICAL_FIRST16_TEST3001--UNIFORM_8/receipt.json,b12fddeca2f9826392702ba0c3a6f601be54ce6d08a255cbd0b2a448ca9fd879,,
1,LOWRANK_4_8_R2,HISTORICAL_FIRST16_TEST3001,16,2048,,,,,,,True,True,True,,,,True,True,True,True,,,,,17733,0,0,0,32784,0,results/historical/seed1/HISTORICAL_FIRST16_TEST3001--LOWRANK_4_8_R2/receipt.json,77a30af90fdc40a4ad50ab750ec02abc23678917679441692125ef66bdbfe960,,
